-2.655587,5.123420,0
-5.285355,3.491010,1
-6.993968,1.575135,1
-6.724528,1.424539,1
-6.405443,1.227067,1
-8.458334,3.008235,1
-5.665943,3.735920,1
-7.808186,2.616703,1
-2.994724,6.273989,0
-2.509554,4.020232,0
-2.793565,3.418841,0
-1.555841,5.908022,0
-3.356464,4.754491,0
-1.671890,4.838535,0
-6.764673,2.969906,1
-1.755937,6.047275,0
-3.154898,6.009446,0
-7.554853,2.038944,1
-5.964448,4.340502,1
-6.054709,3.763852,1
-5.770495,3.040504,1
-6.486003,3.710124,1
-1.579463,4.609419,0
-0.855859,5.905999,0
-2.010016,3.947743,0
-3.118696,4.193707,0
-0.133026,3.772783,0
-4.284317,2.712529,1
-1.891690,5.930986,0
-2.134237,4.763028,0
-5.182203,3.839162,1
-6.694895,3.482357,1
-6.257574,3.954907,1
-0.774719,4.540931,0
-8.587588,3.262915,1
-7.034748,3.851591,1
-2.354356,4.210325,0
-5.478065,2.166834,1
-0.756043,4.824080,0
-5.975355,1.933567,1
-1.991326,4.146398,0
-4.261221,7.472733,0
-7.657278,1.642857,1
-1.830974,5.429626,0
-1.232029,5.526938,0
-2.915820,6.216441,0
-6.779751,2.706618,1
-4.862729,1.779101,1
-7.334485,1.374255,1
-7.080522,1.786156,1
-4.727204,2.771884,1
-6.844659,4.074387,1
-1.878040,4.175937,0
-5.243624,1.515797,1
-2.890704,5.643523,0
-0.438265,2.734955,0
-3.135679,6.458911,0
-8.428964,3.386232,1
-4.277301,4.383659,1
-2.255509,5.110164,0
-1.886577,4.149685,0
-2.464527,5.700715,0
-2.556675,2.450564,0
-1.734888,4.381026,0
-2.440681,3.531560,0
-8.436807,4.768011,1
-7.313469,2.693471,1
-3.532644,6.301272,0
-5.611782,4.540756,1
-5.367263,3.661911,1
-3.129442,4.806386,0
-1.302385,4.055048,0
-7.279724,3.340294,1
-1.895927,6.230161,0
-1.131147,4.949867,0
-1.719026,4.217603,0
-5.227843,5.385533,0
-0.947767,4.097143,0
-1.425660,5.144166,0
-0.096184,4.470566,0
-1.426457,5.495326,0
-6.071840,2.845287,1
-5.649788,2.291644,1
-6.968047,2.658334,1
-1.737464,5.706519,0
-1.822770,6.026915,0
-2.098694,5.584503,0
-5.859943,3.414087,1
-6.855401,2.627295,1
-6.428743,3.911692,1
-5.659468,2.939120,1
-2.664892,2.819488,0
-1.298899,5.189371,0
-8.275791,4.437468,1
-0.445703,5.461862,0
-1.904716,4.441256,0
-1.401629,4.204778,0
-2.608172,4.832306,0
-3.092164,4.179697,0
-6.436086,2.296704,1
-8.018925,1.956392,1
-0.713928,6.144542,0
-6.155819,3.238042,1
-2.116919,4.166879,0
-2.035623,4.338031,0
-4.064901,4.899567,1
-2.850179,4.765791,0
-7.117555,2.603642,1
-6.281295,2.625514,1
-2.255824,5.234696,0
-1.609310,5.477402,0
-5.677484,3.244373,1
-7.498766,2.390088,1
-1.824823,4.499394,0
-2.247533,5.175017,0
-6.122973,2.397185,1
-2.586115,4.169843,0
-5.243825,4.171236,1
-4.641465,3.984565,1
-7.200055,4.012598,1
-6.033731,2.496823,1
-6.539310,3.807535,1
-3.303099,5.079674,0
-1.750766,3.426163,0
-6.748532,1.671744,1
-1.608176,4.674382,0
-2.362296,5.976235,0
-3.754920,5.037993,0
-2.474217,3.898284,0
-5.969761,1.925826,1
-3.385407,5.680931,0
-1.665349,4.922129,0
-3.080266,3.899160,0
-6.224926,1.494688,1
-1.588003,6.186836,0
-4.026989,2.305873,1
-7.592337,1.513137,1
-6.900906,2.952121,1
-5.785440,2.296957,1
-5.630258,2.457364,1
-1.523244,4.802569,0
-7.970032,2.102108,1
-6.278504,3.397626,1
0.009777,3.804074,0
-6.179178,3.963582,1
-3.568499,4.831330,0
-6.983950,3.248739,1
-5.645854,3.262379,1
-7.553384,2.186226,1
-5.951217,5.158127,1
-6.142257,3.070360,1
-6.249057,3.077512,1
-1.617800,5.424929,0
-4.869278,4.535733,1
-6.195218,2.745355,1
-7.607659,2.478637,1
-5.185481,1.476406,1
-2.664375,5.031218,0
-1.605753,4.075033,0
-0.662662,3.971025,0
-2.418773,4.880253,0
-6.511107,3.795095,1
-5.233329,1.510137,1
-6.513351,1.897504,1
-3.313673,5.360488,0
-1.576735,5.899536,0
-4.805571,1.605917,1
-3.463596,3.522992,1
-7.062905,2.396682,1
-0.702879,5.229881,0
-7.020704,4.643973,1
-5.959704,1.217498,1
-5.252731,0.989221,1
-6.829601,2.543791,1
-7.488747,2.616495,1
-1.145657,5.742344,0
-0.906623,5.623573,0
-2.925855,3.969051,0
-6.399650,4.253224,1
-2.094893,3.586441,0
-6.661737,1.855956,1
-2.706837,4.261822,0
-6.656502,2.415569,1
-7.312582,1.731660,1
-0.972322,5.121783,0
-3.559531,5.581312,0
-6.087874,2.225208,1
-6.976206,2.707739,1
-0.629312,4.408111,0
-1.749284,4.373686,0
-1.272473,5.213354,0
-2.231681,5.904591,0
-1.979758,3.641927,0
-5.371492,3.822351,1
-4.820597,2.983679,1
-3.771847,4.665688,0
-1.489962,7.417845,0
-6.926020,1.259979,1
-2.140687,5.100298,0
-4.701309,2.200557,1
